"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2014","23,150","23,200","23,225","23,100","3.59M","0.00%"
"07/02/2014","23,150","22,975","23,150","22,875","2.10M","1.20%"
"07/01/2014","22,875","22,850","23,200","22,775","702.40K","-0.97%"
"06/30/2014","23,100","22,750","23,100","22,750","2.53M","1.54%"
"06/27/2014","22,750","23,200","23,200","22,600","1.75M","-1.41%"
"06/26/2014","23,075","23,100","23,200","22,775","1.24M","0.76%"
"06/25/2014","22,900","22,850","23,000","22,725","995.70K","-0.43%"
"06/24/2014","23,000","22,800","23,100","22,700","3.35M","1.21%"
"06/23/2014","22,725","22,525","22,875","22,525","1.32M","0.78%"
"06/20/2014","22,550","22,525","22,900","22,500","1.67M","0.11%"
"06/19/2014","22,525","22,775","23,100","22,475","2.42M","0.00%"
"06/18/2014","22,525","22,750","22,750","22,275","1.93M","0.00%"
"06/17/2014","22,525","22,250","22,775","22,150","3.98M","2.50%"
"06/16/2014","21,975","22,700","22,700","21,975","1.61M","-4.04%"
"06/13/2014","22,900","22,550","22,900","22,400","602.10K","-0.43%"
"06/12/2014","23,000","23,100","23,100","22,200","1.61M","0.00%"
"06/11/2014","23,000","22,900","23,050","22,875","3.94M","0.55%"
"06/10/2014","22,875","22,650","22,875","22,650","1.29M","0.99%"
"06/09/2014","22,650","22,700","22,825","22,500","684.50K","-0.88%"
"06/06/2014","22,850","22,600","22,900","22,525","5.42M","1.33%"
"06/05/2014","22,550","22,500","22,550","22,300","1.76M","0.45%"
"06/04/2014","22,450","22,275","22,475","22,125","2.05M","0.45%"
"06/03/2014","22,350","22,500","22,500","22,250","3.51M","0.79%"
"06/02/2014","22,175","21,750","22,250","21,700","3.44M","2.31%"
"05/30/2014","21,675","22,175","22,475","21,675","7.17M","-1.48%"
"05/28/2014","22,000","21,775","22,050","21,775","4.59M","1.73%"
"05/26/2014","21,625","21,750","21,750","21,500","529.70K","0.00%"
"05/23/2014","21,625","21,800","22,200","21,200","2.91M","-0.12%"
"05/22/2014","21,650","21,700","21,800","21,475","1.97M","0.93%"
"05/21/2014","21,450","21,225","21,700","21,025","3.78M","1.30%"
"05/20/2014","21,175","22,200","22,200","20,750","4.78M","-2.98%"
"05/19/2014","21,825","22,350","22,400","21,450","2.87M","-0.80%"
"05/16/2014","22,000","22,400","22,400","21,525","3.26M","-2.00%"
"05/14/2014","22,450","22,500","22,500","22,350","4.15M","0.22%"
"05/13/2014","22,400","22,500","22,500","22,350","1.34M","0.11%"
"05/12/2014","22,375","22,300","22,500","22,300","1.92M","0.34%"
"05/09/2014","22,300","20,800","22,350","20,800","1.77M","0.34%"
"05/08/2014","22,225","22,225","22,375","22,225","2.76M","-0.22%"
"05/07/2014","22,275","22,325","22,350","22,225","3.80M","0.56%"
"05/06/2014","22,150","22,350","22,350","22,150","2.41M","0.23%"
"05/05/2014","22,100","22,100","22,225","22,050","1.35M","-0.45%"
"05/02/2014","22,200","21,950","22,200","21,750","2.49M","2.30%"
"04/30/2014","21,700","21,600","21,900","21,600","4.39M","-0.91%"
"04/29/2014","21,900","21,500","21,950","21,500","1.93M","4.29%"
"04/28/2014","21,000","21,600","21,750","21,000","1.79M","-3.45%"
"04/25/2014","21,750","22,100","22,100","21,700","2.76M","-0.91%"
"04/24/2014","21,950","21,600","22,050","21,425","3.67M","-0.23%"
"04/23/2014","22,000","21,500","22,100","21,500","5.44M","0.46%"
"04/22/2014","21,900","21,650","21,975","21,425","3.01M","1.39%"
"04/21/2014","21,600","21,600","21,700","21,375","1.98M","0.00%"
"04/17/2014","21,600","21,500","21,650","21,425","7.01M","1.65%"
"04/16/2014","21,250","21,700","21,700","21,250","3.44M","-1.16%"
"04/15/2014","21,500","21,450","21,650","21,275","3.40M","1.42%"
"04/14/2014","21,200","20,900","21,350","20,900","2.53M","1.31%"
"04/11/2014","20,925","20,500","20,950","20,400","3.67M","2.07%"
"04/10/2014","20,500","20,700","21,000","19,975","5.04M","-1.91%"
"04/08/2014","20,900","21,000","21,050","20,525","4.20M","0.97%"
"04/07/2014","20,700","19,950","20,700","19,850","3.75M","3.76%"
"04/04/2014","19,950","20,500","20,900","19,950","3.69M","-4.66%"
"04/03/2014","20,925","20,900","21,000","20,750","2.44M","-0.12%"
"04/02/2014","20,950","21,000","21,100","20,500","2.63M","-0.24%"
"04/01/2014","21,000","20,900","21,000","20,825","4.90M","1.20%"
"03/28/2014","20,750","20,400","20,900","20,400","3.59M","3.23%"
"03/27/2014","20,100","20,300","20,800","20,100","2.50M","0.00%"
"03/26/2014","20,100","20,750","20,950","20,100","3.20M","-3.13%"
"03/25/2014","20,750","20,400","20,950","20,225","3.48M","1.72%"
"03/24/2014","20,400","19,900","20,600","19,750","3.93M","2.51%"
"03/21/2014","19,900","18,800","20,800","18,800","6.61M","0.76%"
"03/20/2014","19,750","20,200","20,700","19,500","3.01M","-4.13%"
"03/19/2014","20,600","20,425","20,675","20,225","3.11M","1.85%"
"03/18/2014","20,225","20,075","20,400","20,075","3.21M","0.00%"
"03/17/2014","20,225","20,200","20,300","20,025","5.03M","0.00%"
"03/14/2014","20,225","19,500","20,300","19,475","3.46M","2.15%"
"03/13/2014","19,800","19,650","19,800","19,525","1.38M","1.54%"
"03/12/2014","19,500","19,400","19,600","19,400","3.73M","-1.64%"
"03/11/2014","19,825","19,500","19,975","19,500","6.56M","2.45%"
"03/10/2014","19,350","19,400","19,475","19,150","3.18M","-0.26%"
"03/07/2014","19,400","20,100","20,200","19,350","3.59M","-3.00%"
"03/06/2014","20,000","19,500","20,100","19,175","3.71M","3.09%"
"03/05/2014","19,400","19,200","19,450","19,050","4.14M","1.84%"
"03/04/2014","19,050","18,750","19,125","18,750","2.52M","1.06%"
"03/03/2014","18,850","18,800","18,900","18,600","1.74M","-0.66%"
"02/28/2014","18,975","18,550","19,000","18,550","7.00M","2.29%"
"02/27/2014","18,550","18,350","18,675","18,325","4.80M","1.23%"
"02/26/2014","18,325","18,400","18,475","18,300","4.48M","-0.81%"
"02/25/2014","18,475","18,600","18,600","18,425","2.38M","-0.27%"
"02/24/2014","18,525","18,600","18,675","18,400","1.68M","-0.40%"
"02/21/2014","18,600","18,550","18,725","18,525","3.02M","-0.27%"
"02/20/2014","18,650","18,500","18,650","18,450","2.00M","0.40%"
"02/19/2014","18,575","18,575","18,600","18,350","2.89M","0.27%"
"02/18/2014","18,525","18,500","18,650","18,425","2.37M","0.27%"
"02/17/2014","18,475","18,325","18,500","18,225","2.09M","0.96%"
"02/14/2014","18,300","18,800","18,850","18,300","3.26M","-1.74%"
"02/13/2014","18,625","18,500","18,850","18,375","3.66M","0.68%"
"02/12/2014","18,500","18,500","18,600","18,375","2.64M","0.27%"
"02/11/2014","18,450","18,000","18,600","17,975","8.75M","2.64%"
"02/10/2014","17,975","18,375","18,400","17,950","6.68M","-1.24%"
"02/07/2014","18,200","18,000","18,300","17,725","9.10M","1.68%"
"02/06/2014","17,900","18,175","18,175","17,800","4.53M","-0.42%"
"02/05/2014","17,975","18,550","18,625","17,950","3.98M","-1.78%"
"02/04/2014","18,300","18,750","18,750","18,300","3.42M","-3.56%"
"02/03/2014","18,975","19,300","19,300","18,800","1.57M","-1.68%"
"01/30/2014","19,300","19,000","19,400","18,850","4.05M","-0.52%"
"01/29/2014","19,400","18,700","19,675","18,700","3.65M","3.74%"
"01/28/2014","18,700","18,650","19,050","18,500","3.25M","0.27%"
"01/27/2014","18,650","19,300","19,300","18,650","2.58M","-5.33%"
"01/24/2014","19,700","20,850","20,850","19,700","2.63M","-5.97%"
"01/23/2014","20,950","21,100","21,200","20,325","2.46M","0.00%"
"01/22/2014","20,950","19,900","20,950","19,750","5.32M","5.81%"
"01/21/2014","19,800","19,700","19,800","19,400","1.73M","1.54%"
"01/20/2014","19,500","19,625","19,650","19,325","1.83M","1.04%"
"01/17/2014","19,300","19,175","19,300","19,000","1.59M","1.58%"
"01/16/2014","19,000","19,050","19,100","18,900","1.55M","0.93%"
"01/15/2014","18,825","19,300","19,300","18,800","2.87M","-0.92%"
"01/13/2014","19,000","19,100","19,100","18,950","3.22M","0.00%"
"01/10/2014","19,000","18,750","19,200","18,750","3.90M","1.06%"
"01/09/2014","18,800","19,600","19,700","18,800","3.13M","-3.34%"
"01/08/2014","19,450","19,600","19,900","19,350","1.86M","-1.52%"
